z	zmin	zmax	tlook	tlookmin	tlookmax	dl		z	tlook	a	delta-tlook		a1	a2	t1	t2	t-interp	Chi^2
0.036	0.0345	0.0405	0.4965	0.4577	0.5351	0.0546		0.036	-0.4965	0.965250965	0.0387		0.96	0.97	-0.540694018	-0.404419252	-0.469136612	0.499939915
0.884	0.8629	1.0055	7.3564	7.0354	7.6473	2.0085		0.884	-7.3564	0.530785563	0.30595		0.53	0.54	-6.93657999	-6.782757978	-6.924496308	1.992842234
0.882	0.7264	0.926	6.8651	6.3516	7.3176	1.7254		0.882	-6.8651	0.531349628	0.483		0.53	0.54	-6.93657999	-6.782757978	-6.91581974	0.011027061
0.57	0.4922	0.6363	5.3872	4.8951	5.8386	1.0786		0.57	-5.3872	0.636942675	0.47175		0.63	0.64	-5.392777412	-5.238527846	-5.285686949	0.046304153
0.528	0.4847	0.5973	5.238	4.8413	5.5989	1.0254		0.528	-5.238	0.654450262	0.3788		0.65	0.66	-5.084463588	-4.930620301	-5.015999298	0.343469956
0.016	0.0105	0.015	0.1817	0.1416	0.2017	0.0193		0.016	-0.1817	0.984251969	0.03005		0.98	0.99	-0.26887728	-0.134070295	-0.211557775	0.987247213
0.771	0.5778	0.6633	5.7477	5.4749	5.9982	1.2103		0.771	-5.7477	0.564652739	0.26165		0.56	0.57	-6.474411548	-6.319985657	-6.402561218	6.264076678
0.832	0.6423	0.8134	6.3678	5.8745	6.7995	1.4753		0.832	-6.3678	0.545851528	0.4625		0.54	0.55	-6.782757978	-6.628685184	-6.692601845	0.493189136
0.798	0.7189	0.926	6.8506	6.3108	7.3176	1.7174		0.798	-6.8506	0.556173526	0.5034		0.55	0.56	-6.628685184	-6.474411548	-6.533443951	0.396935164
0.811	0.7294	0.9695	6.9864	6.3678	7.5015	1.7901		0.811	-6.9864	0.552181115	0.56685		0.55	0.56	-6.628685184	-6.474411548	-6.595036324	0.476677583
0.815	0.7894	0.9905	7.1655	6.6803	7.5872	1.8918		0.815	-7.1655	0.550964187	0.45345		0.55	0.56	-6.628685184	-6.474411548	-6.613810315	1.480235838
0.977	0.7444	0.92	6.894	6.4479	7.2916	1.7413		0.977	-6.894	0.505816894	0.42185		0.5	0.51	-7.396022343	-7.243265342	-7.307165211	0.959249065
1.755	1.2156	1.4992	8.9859	8.3972	9.1915	3.3797		1.755	-8.9859	0.362976407	0.39715		0.36	0.37	-9.459043566	-9.318239585	-9.417134577	1.179011438
0.475	0.4067	0.4817	4.5421	4.2513	4.8196	0.807		0.475	-4.5421	0.677966102	0.28415		0.67	0.68	-4.777032194	-4.623732039	-4.654911732	0.157620685
0.95	0.7354	0.971	7.0005	6.4	7.5077	1.7984		0.95	-7.0005	0.512820513	0.55385		0.51	0.52	-7.243265342	-7.09009996	-7.20006485	0.129832608
